shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
relation/9233872,-8.5187188,115.2609744,1,
relation/9233872,-8.5187167,115.2609988,2,
relation/9233872,-8.5187102,115.2610763,3,
relation/9233872,-8.5186815,115.2611176,4,
relation/9233872,-8.518539,115.2612168,5,
relation/9233872,-8.518454,115.261267,6,
relation/9233872,-8.5183895,115.2612735,7,
relation/9233872,-8.5182937,115.2612263,8,
relation/9233872,-8.5181879,115.2610861,9,
relation/9233872,-8.5181905,115.2609219,10,
relation/9233872,-8.5182195,115.2606316,11,
relation/9233872,-8.5182406,115.2604199,12,
relation/9233872,-8.5181405,115.2602604,13,
relation/9233872,-8.5179371,115.2600809,14,
relation/9233872,-8.5177689,115.2599016,15,
relation/9233872,-8.5177202,115.2596782,16,
relation/9233872,-8.517706,115.259556,17,
relation/9233872,-8.5176813,115.2594339,18,
relation/9233872,-8.5176554,115.259382,19,
relation/9233872,-8.5176235,115.2593705,20,
relation/9233872,-8.5175941,115.2593613,21,
relation/9233872,-8.5175638,115.2593748,22,
relation/9233872,-8.5175699,115.2594302,23,
relation/9233872,-8.5174373,115.2595398,24,
relation/9233872,-8.5171888,115.2596957,25,
relation/9233872,-8.5168499,115.2598249,26,
relation/9233872,-8.5160786,115.2600791,27,
relation/9233872,-8.5158019,115.2601914,28,
relation/9233872,-8.5157145,115.2602311,29,
relation/9233872,-8.5153656,115.2602969,30,
relation/9233872,-8.5150685,115.2603666,31,
relation/9233872,-8.5145156,115.2605235,32,
relation/9233872,-8.5143728,115.2605557,33,
relation/9233872,-8.5142479,115.2605953,34,
relation/9233872,-8.5141436,115.2606247,35,
relation/9233872,-8.513882,115.2606694,36,
relation/9233872,-8.5138183,115.260692,37,
relation/9233872,-8.5137596,115.2607088,38,
relation/9233872,-8.5135437,115.2607584,39,
relation/9233872,-8.5133376,115.2608024,40,
relation/9233872,-8.5132801,115.2608163,41,
relation/9233872,-8.5130006,115.2608522,42,
relation/9233872,-8.5127395,115.2609154,43,
relation/9233872,-8.512588,115.260954,44,
relation/9233872,-8.5121878,115.2610348,45,
relation/9233872,-8.5118985,115.2610863,46,
relation/9233872,-8.5117516,115.2611117,47,
relation/9233872,-8.5114009,115.2610702,48,
relation/9233872,-8.5113775,115.2610674,49,
relation/9233872,-8.5107718,115.261182,50,
relation/9233872,-8.5097882,115.2613893,51,
relation/9233872,-8.5095517,115.2614391,52,
relation/9233872,-8.5094293,115.2614815,53,
relation/9233872,-8.5080248,115.2620428,54,
relation/9233872,-8.5076568,115.2621693,55,
relation/9233872,-8.5075316,115.262225,56,
relation/9233872,-8.5071094,115.262402,57,
relation/9233872,-8.5068877,115.2624962,58,
relation/9233872,-8.5069846,115.2627236,59,
relation/9233872,-8.5071996,115.2632283,60,
relation/9233872,-8.5073204,115.2635048,61,
relation/9233872,-8.5073673,115.2636021,62,
relation/9233872,-8.5077902,115.2644788,63,
relation/9233872,-8.5080102,115.2649759,64,
relation/9233872,-8.5081892,115.2653427,65,
relation/9233872,-8.5084309,115.2652545,66,
relation/9233872,-8.5086354,115.2651844,67,
relation/9233872,-8.5100826,115.2648776,68,
relation/9233872,-8.5103666,115.264821,69,
relation/9233872,-8.5104235,115.2648097,70,
relation/9233872,-8.5104786,115.2647976,71,
relation/9233872,-8.5107123,115.2647479,72,
relation/9233872,-8.5108944,115.2647065,73,
relation/9233872,-8.5118476,115.264477,74,
relation/9233872,-8.5129264,115.2642585,75,
relation/9233872,-8.5131318,115.2642073,76,
relation/9233872,-8.5132909,115.2641566,77,
relation/9233872,-8.5137347,115.2640666,78,
relation/9233872,-8.5141158,115.26402,79,
relation/9233872,-8.5141869,115.2640083,80,
relation/9233872,-8.5149962,115.2638965,81,
relation/9233872,-8.515311,115.263838,82,
relation/9233872,-8.5157813,115.2637505,83,
relation/9233872,-8.5159328,115.2637298,84,
relation/9233872,-8.5164714,115.2636561,85,
relation/9233872,-8.5166595,115.263628,86,
relation/9233872,-8.5167656,115.2636685,87,
relation/9233872,-8.5168312,115.2636935,88,
relation/9233872,-8.5169883,115.2636893,89,
relation/9233872,-8.5172089,115.2636548,90,
relation/9233872,-8.5172489,115.2636399,91,
relation/9233872,-8.5172888,115.2636249,92,
relation/9233872,-8.5175069,115.2635665,93,
relation/9233872,-8.5179515,115.2634451,94,
relation/9233872,-8.5181198,115.2633562,95,
relation/9233872,-8.5182213,115.2632811,96,
relation/9233872,-8.5182925,115.263189,97,
relation/9233872,-8.5183097,115.2630583,98,
relation/9233872,-8.518316,115.262909,99,
relation/9233872,-8.5182954,115.2627276,100,
relation/9233872,-8.5182752,115.2623338,101,
relation/9233872,-8.5182722,115.2620848,102,
relation/9233872,-8.5182394,115.2618662,103,
relation/9233872,-8.5181963,115.2616712,104,
relation/9233872,-8.5181815,115.2615912,105,
relation/9233872,-8.5182717,115.2613789,106,
relation/9233872,-8.5183635,115.2613168,107,
relation/9233872,-8.5184584,115.2612925,108,
relation/9233872,-8.5185139,115.2612541,109,
relation/9233872,-8.5187083,115.2611401,110,
relation/9233872,-8.5187464,115.2611107,111,
relation/9233872,-8.5187778,115.2611041,112,
relation/9233872,-8.518931,115.2610721,113,
relation/9233872,-8.5193311,115.2610261,114,
relation/9233872,-8.5195582,115.2609984,115,
relation/9233872,-8.5197961,115.2609483,116,
relation/9233872,-8.5201198,115.2608043,117,
relation/9233872,-8.5204369,115.2607195,118,
relation/9233872,-8.5206393,115.2606179,119,
relation/9233872,-8.5206768,115.2605286,120,
relation/9233872,-8.520712,115.2604448,121,
relation/9233872,-8.5206942,115.2603518,122,
relation/9233872,-8.5206838,115.2602975,123,
relation/9233872,-8.5205647,115.2602106,124,
relation/9233872,-8.5203593,115.2602047,125,
relation/9233872,-8.5202266,115.2602887,126,
relation/9233872,-8.5201607,115.260391,127,
relation/9233872,-8.5200019,115.2606286,128,
relation/9233872,-8.5198468,115.2607565,129,
relation/9233872,-8.5197347,115.2608045,130,
relation/9233872,-8.5196255,115.2608288,131,
relation/9233872,-8.5194834,115.26086,132,
relation/9233872,-8.5193779,115.2608852,133,
relation/9233872,-8.5191247,115.2608958,134,
relation/9233872,-8.5189896,115.2608359,135,
relation/9233872,-8.5189048,115.2608159,136,
relation/9233872,-8.5187755,115.2608642,137,
relation/9233872,-8.5187188,115.2609744,138,
